1	12.03.2022	9:10	45462526	3		120
2	13.03.2022	10:10	45462527	1		600
3	14.03.2022	11:10	45462528	1		120
4	15.03.2022	12:10	45462529	3		600
5	16.03.2022	13:10	45462530	2	16.04.2022	320
6	17.03.2022	14:10	45462531	3		480
7	18.03.2022	15:10	45462532	3		240
8	19.03.2022	16:10	45462533	1		360
9	20.03.2022	10:00	45462534	1		720
10	21.03.2022	11:00	45462535	3		120
11	22.03.2022	12:00	45462536	2	22.03.2022	600
12	23.03.2022	13:00	45462537	1		120
13	24.03.2022	14:00	45462538	1		600
14	25.03.2022	15:00	45462539	1		320
15	26.03.2022	16:00	45462540	2	26.04.2022	480
16	27.03.2022	17:00	45462541	3		240
17	28.03.2022	18:00	45462542	1		360
18	29.03.2022	19:00	45462543	1		720
19	30.03.2022	12:30	45462544	3		120
20	31.03.2022	13:30	45462545	3		600
21	01.04.2022	14:30	45462546	2	01.04.2022	120
22	02.04.2022	15:30	45462547	3		600
23	03.04.2022	16:30	45462548	3		320
24	04.04.2022	17:30	45462549	1		480
25	05.04.2022	18:30	45462550	1		240
26	06.04.2022	15:30	45462551	1		360
27	07.04.2022	16:30	45462552	1		720
28	08.04.2022	17:30	45462553	2	08.04.2022	120
29	09.04.2022	18:30	45462554	3		600
30	10.04.2022	19:30	45462555	1		120
31	11.04.2022	10:30	45462556	1		600
32	12.04.2022	11:30	45462557	3		320
33	13.04.2022	12:30	45462558	3		480
34	14.04.2022	13:30	45462559	3		240
35	15.04.2022	14:30	45462560	1		360
36	02.04.2022	15:30	45462561	1		720
37	03.04.2022	16:30	45462562	1		120
38	04.04.2022	17:30	45462563	2	04.04.2022	600
39	05.04.2022	10:15	45462564	1		120
40	06.04.2022	11:15	45462565	3		600
41	07.04.2022	12:15	45462566	2	07.04.2022	320
42	08.04.2022	13:15	45462567	1		480
43	09.04.2022	14:15	45462568	1		240
44	01.04.2022	15:15	45462569	1		360
45	02.04.2022	16:15	45462570	1		720
46	03.04.2022	10:45	45462571	1		480
47	04.04.2022	11:45	45462572	2	04.04.2022	320
48	05.04.2022	12:45	45462573	3		480
49	06.04.2022	13:45	45462574	3		240
50	07.04.2022	14:45	45462575	3		360
